"Version","Version"
"Enabled","Aktiv"
"Title","Titel"
"Agreement Id","Aftale-id"
"API key","API-nøgle"
"Private key","Privat nøgle"
"Enable testmode","Aktivér testtilstand"
"New order status (After the payment is made)","Ny ordre status (Efter betaling er gennemført)"
"New order status (Before the payment is made)","Ny ordre status (Før betaling er gennemført)"
"Payment from applicable countries","Betaling fra gældende lande"
"Payment from Specific countries","Betaling fra bestemte lande"
"Instructions","Instruktioner"
"Which Card logos to show","Hvilke kortlogoer skal vises"
"Payment Methods","Betalingsmetoder"
"Payment Method","Betalingsmetode"
"Instant capture","Øjeblikkelig Hævning"
"Instant invoice","Øjeblikkelig fakturering"
"Create the invoice automatically if payment is captured instantly.","Opret faktura automatisk, hvis hævning sker øjeblikkeligt."
"Send order confirmation via email","Send e-mail Ordrebekræftelse."
"Send order confirmation before the actual payment","Send e-mail Ordrebekræftelse før."
"Text that will be placed on cardholder’s bank statement (MAX 22 ASCII characters and <strong>only supported by Clearhaus currently</strong>).<br>Has to start with Default descriptor, as described in your agreement with Clearhaus",""
"Handle stock. The quantity purchased in stock will at first be decremented as the payment is made.","Håndtering af lager. Varene vil først trækkes fra lageret, når betalingen er gennemført."
"IMPORTANT! Decrementing of stock on unpaid orders might end up setting wrong quantity for products. Please, make sure, that your Magento setting Set Items Status to be In Stock When Order is Cancelled is set correctly.","OBS! Annullering af ikke betalte ordre, vil give falske lagerantal, med mindre Magento Lagermuligheden Sæt produktets status til på lager når en ordre annulleres er sat til Nej."
"Charge Transaction fees","Opkræv Transaktionsgebyr"
"Charge Transaction Fee Text","Opkræv Transaktionsgebyr Tekst"
"Specified Transaction fees","Transaktionsgebyr Udspecificeret"
"Will only be specified if Transaction fees are enabled","Udspecificeres kun hvis transaktionsgebyr er slået til"
"Branding Id","Branding Id"
"Branding Id Checkbox Checked","Brand Id afkrydsningsfelt markeret"
"The branding Id to use, if the checkbox is checked at checkout. The checkbox is only visible if this field is set. Makes it possible to use two brandings based on the customers selection.","Den branding-id, der skal bruges, hvis afkrydsningsfeltet er markeret ved kassen. Afkrydsningsfeltet er kun synligt, hvis dette felt er indstillet. Gør det muligt at bruge to brandings baseret på kundernes valg"
"Branding Id Checkbox Label","Branding Id afkrydsningsfeltetiket"
"The label of the checkbox, that is visible if Branding Id Checkbox Checked is set. If the label is added to the language files, it will be translated. If its not added, its just written as in this field.","Markeringen af ​​afkrydsningsfeltet, der er synlig, hvis afkrydsningsfeltet Branding Id er markeret. Hvis etiketten føjes til sprogfilerne, oversættes den. Hvis det ikke er tilføjet, er det bare skrevet som i dette felt."
"Google Analytics tracking ID","Google Analytics-sporings-id"
"Google Analytics client ID","Google Analytics-klient-id"
"Sort Order","Sorteringsrækkefølge"
"Text on statement","Tekst på erklæring"
"Shipping Title","Forsendelsestitel"
"Shipping Price","Forsendelsespris"
"All payment methods","Alle betalingsmetoder"
"All credit cards","Alle kreditkort"
"As defined","Som angivet"
